M;2006-03-21;14:37;+0000;sheriff;1.19;order.php;x-lite/classes/modules/AOM/admin/dialog
M;2006-03-22;14:29;+0000;sheriff;1.77;checkout.php;x-lite/classes/dialog
M;2006-03-22;14:29;+0000;sheriff;1.23;body.tpl;x-lite/skins/admin/en/payment_methods
M;2006-03-22;15:05;+0000;sheriff;1.22;Order.php;x-lite/classes/modules/AOM/kernel
M;2006-03-22;15:05;+0000;sheriff;1.6;OrderItem.php;x-lite/classes/modules/AOM/kernel
M;2006-03-23;08:26;+0000;osipov;1.3;change_skin.php;x-lite/classes/admin/dialog
M;2006-03-23;09:30;+0000;osipov;1.16;css_edit.php;x-lite/classes/admin/dialog
M;2006-03-23;09:30;+0000;osipov;1.5;product_banner.php;x-lite/classes/modules/Affiliate/dialog
M;2006-03-23;09:30;+0000;osipov;1.16;global_product_options.php;x-lite/classes/modules/ProductOptions/admin/dialog
M;2006-03-23;09:30;+0000;osipov;1.16;edit_style.tpl;x-lite/skins/admin/en/css_editor
M;2006-03-23;09:30;+0000;osipov;1.17;global_product_options.tpl;x-lite/skins/admin/en/modules/ProductOptions
M;2006-03-23;09:30;+0000;osipov;1.5;product_banner_js.tpl;x-lite/skins/default/en/modules/Affiliate
M;2006-03-24;05:47;+0000;sheriff;1.2;image.php;x-lite/classes/modules/Affiliate/dialog
M;2006-03-24;05:48;+0000;sheriff;1.6;order_list.php;x-lite/classes/modules/AOM/admin/dialog
M;2006-03-24;05:48;+0000;sheriff;1.4;product_option_modifier.tpl;x-lite/skins/default/en/modules/ProductOptions
M;2006-03-24;05:49;+0000;sheriff;1.60;Module.php;x-lite/classes/kernel
M;2006-03-24;05:49;+0000;sheriff;1.64;ModulesManager.php;x-lite/classes/kernel
M;2006-03-24;06:03;+0000;sheriff;1.22;users.php;x-lite/classes/admin/dialog
M;2006-03-24;07:32;+0000;sheriff;1.97;install.php;x-lite
M;2006-03-24;07:33;+0000;sheriff;1.23;general_settings.tpl;x-lite/skins/admin/en
M;2006-03-24;07:33;+0000;sheriff;1.167;xlite_data.sql;x-lite/sql
M;2006-03-24;08:35;+0000;sheriff;1.23;Order.php;x-lite/classes/modules/AOM/kernel
M;2006-03-24;10:44;+0000;osipov;1.24;Order.php;x-lite/classes/modules/AOM/kernel
M;2006-03-24;10:44;+0000;osipov;1.38;Order.php;x-lite/classes/modules/Promotion/kernel
M;2006-03-24;11:23;+0000;osipov;1.8;totals.tpl;x-lite/skins/admin/en/modules/AOM/order_edit
M;2006-03-24;11:56;+0000;sheriff;1.29;modules.php;x-lite/classes/admin/dialog
M;2006-03-24;11:56;+0000;sheriff;1.32;TaxRates.php;x-lite/classes/kernel
M;2006-03-24;11:57;+0000;sheriff;1.34;modules.tpl;x-lite/skins/admin/en
M;2006-03-24;12:05;+0000;osipov;1.39;Order.php;x-lite/classes/modules/Promotion/kernel
M;2006-03-24;13:15;+0000;osipov;1.14;card_types.tpl;x-lite/skins/admin/en
M;2006-03-24;13:15;+0000;osipov;1.17;countries.tpl;x-lite/skins/admin/en
M;2006-03-24;13:15;+0000;osipov;1.8;orders_stats.tpl;x-lite/skins/admin/en
M;2006-03-24;13:15;+0000;osipov;1.11;searchStat.tpl;x-lite/skins/admin/en
M;2006-03-24;13:15;+0000;osipov;1.18;states.tpl;x-lite/skins/admin/en
M;2006-03-24;13:15;+0000;osipov;1.6;top_sellers.tpl;x-lite/skins/admin/en
M;2006-03-24;13:15;+0000;osipov;1.24;body.tpl;x-lite/skins/admin/en/payment_methods
M;2006-03-24;13:15;+0000;osipov;1.18;methods.tpl;x-lite/skins/admin/en/shipping
M;2006-03-24;13:15;+0000;osipov;1.19;options.tpl;x-lite/skins/admin/en/tax
M;2006-03-24;13:15;+0000;osipov;1.15;rates.tpl;x-lite/skins/admin/en/tax
M;2006-03-24;14:33;+0000;sheriff;1.27;decoration.php;x-lite/includes
M;2006-03-27;06:13;+0000;sheriff;1.24;category.php;x-lite/classes/admin/dialog
M;2006-03-27;06:14;+0000;sheriff;1.4;category_extra_fields.tpl;x-lite/skins/admin/en/categories
M;2006-03-27;06:17;+0000;sheriff;1.24;config.php;x-lite/etc
M;2006-03-27;06:37;+0000;sheriff;1.19;CHANGELOG;x-lite/classes/modules/AOM
M;2006-03-27;06:37;+0000;sheriff;1.6;MANIFEST;x-lite/classes/modules/AOM
M;2006-03-27;06:37;+0000;sheriff;1.13;CHANGELOG;x-lite/classes/modules/InventoryTracking
M;2006-03-27;06:37;+0000;sheriff;1.11;MANIFEST;x-lite/classes/modules/InventoryTracking
M;2006-03-27;06:37;+0000;sheriff;1.17;CHANGELOG;x-lite/classes/modules/ProductOptions
M;2006-03-27;06:37;+0000;sheriff;1.28;MANIFEST;x-lite/classes/modules/ProductOptions
